일시,도서명,지점명,재고수량
2026-07-20 20:03:01,폐놀이공원의 살인,광화문,3
2026-07-20 20:03:01,폐놀이공원의 살인,가든파이브,0
2026-07-20 20:03:01,폐놀이공원의 살인,강남,1
2026-07-20 20:03:01,폐놀이공원의 살인,건대,1
2026-07-20 20:03:01,폐놀이공원의 살인,동대문,1
2026-07-20 20:03:01,폐놀이공원의 살인,목동,2
2026-07-20 20:03:01,폐놀이공원의 살인,서울대,0
2026-07-20 20:03:01,폐놀이공원의 살인,수유,1
2026-07-20 20:03:01,폐놀이공원의 살인,영등포,2
2026-07-20 20:03:01,폐놀이공원의 살인,원그로브점,1
2026-07-20 20:03:01,폐놀이공원의 살인,은평,0
2026-07-20 20:03:01,폐놀이공원의 살인,이화여대,0
2026-07-20 20:03:01,폐놀이공원의 살인,잠실,2
2026-07-20 20:03:01,폐놀이공원의 살인,천호,2
2026-07-20 20:03:01,폐놀이공원의 살인,청량리,2
2026-07-20 20:03:01,폐놀이공원의 살인,합정,0
2026-07-20 20:03:01,폐놀이공원의 살인,광교,2
2026-07-20 20:03:01,폐놀이공원의 살인,분당,1
2026-07-20 20:03:01,폐놀이공원의 살인,송도,0
2026-07-20 20:03:01,폐놀이공원의 살인,인천,0
2026-07-20 20:03:01,폐놀이공원의 살인,일산,2
2026-07-20 20:03:01,폐놀이공원의 살인,판교,0
2026-07-20 20:03:01,폐놀이공원의 살인,평촌,2
2026-07-20 20:03:01,폐놀이공원의 살인,경성대ㆍ부경대,0
2026-07-20 20:03:01,폐놀이공원의 살인,광주상무,1
2026-07-20 20:03:01,폐놀이공원의 살인,대구,0
2026-07-20 20:03:01,폐놀이공원의 살인,대전,0
2026-07-20 20:03:01,폐놀이공원의 살인,부산,22
2026-07-20 20:03:01,폐놀이공원의 살인,세종,1
2026-07-20 20:03:01,폐놀이공원의 살인,센텀시티,0
2026-07-20 20:03:01,폐놀이공원의 살인,울산,2
2026-07-20 20:03:01,폐놀이공원의 살인,전주,1
2026-07-20 20:03:01,폐놀이공원의 살인,창원,1
2026-07-20 20:03:01,폐놀이공원의 살인,천안,3
2026-07-20 20:03:01,폐놀이공원의 살인,칠곡,1
2026-07-20 20:03:01,폐놀이공원의 살인,해운대 팝업스토어,0
2026-07-20 20:32:39,폐놀이공원의 살인,광화문,3
2026-07-20 20:32:39,폐놀이공원의 살인,가든파이브,0
2026-07-20 20:32:39,폐놀이공원의 살인,강남,1
2026-07-20 20:32:39,폐놀이공원의 살인,건대,1
2026-07-20 20:32:39,폐놀이공원의 살인,동대문,1
2026-07-20 20:32:39,폐놀이공원의 살인,목동,2
2026-07-20 20:32:39,폐놀이공원의 살인,서울대,0
2026-07-20 20:32:39,폐놀이공원의 살인,수유,1
2026-07-20 20:32:39,폐놀이공원의 살인,영등포,2
2026-07-20 20:32:39,폐놀이공원의 살인,원그로브점,1
2026-07-20 20:32:39,폐놀이공원의 살인,은평,0
2026-07-20 20:32:39,폐놀이공원의 살인,이화여대,0
2026-07-20 20:32:39,폐놀이공원의 살인,잠실,2
2026-07-20 20:32:39,폐놀이공원의 살인,천호,2
2026-07-20 20:32:39,폐놀이공원의 살인,청량리,2
2026-07-20 20:32:39,폐놀이공원의 살인,합정,0
2026-07-20 20:32:39,폐놀이공원의 살인,광교,2
2026-07-20 20:32:39,폐놀이공원의 살인,분당,1
2026-07-20 20:32:39,폐놀이공원의 살인,송도,0
2026-07-20 20:32:39,폐놀이공원의 살인,인천,0
2026-07-20 20:32:39,폐놀이공원의 살인,일산,2
